=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:21:29
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6

=== ИТОГИ ===
Всего сделок,486
Средняя доходность %,4.78
Медианная доходность %,1.98
Win rate %,70.4
Profit factor,8.15
Sharpe,2.79
Макс просадка %,29.30
Общая доходность %,37786190.44
CAGR %,0.00
Макс выигрыш %,108.22
Макс проигрыш %,-28.12
Ср. выигрыш %,7.74
Ср. проигрыш %,2.25
Макс серия побед,11
Макс серия потерь,7
Ср. удержание дней,5.8
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
103,KROTP,S2,STRONG,5.82,6.68,2017-09-08,2017-09-11,2017-09-19,345.55,372.34,7.75,6,ts_extend
104,RTKM,S1,STRONG,5.19,1.60,2017-09-19,2017-09-20,2017-09-28,69.21,68.65,-0.81,6,ts_extend
105,NKNCP,S2,STRONG,5.65,2.04,2017-09-19,2017-09-20,2017-09-28,27.05,26.79,-0.97,6,ts_extend
106,JNOSP,S2,ULTRA,7.52,1.47,2017-10-12,2017-10-13,2017-10-23,15.12,15.69,3.72,6,ts_extend
107,UKUZ,S2,STRONG,6.10,2.81,2017-10-23,2017-10-24,2017-11-01,861.38,889.10,3.22,6,ts_extend
108,MSTT,S2,STRONG,6.08,2.18,2017-11-02,2017-11-03,2017-11-14,148.64,160.92,8.26,6,ts_extend
109,PLZL,S2,ULTRA,7.50,1.90,2017-11-14,2017-11-15,2017-11-23,509.11,508.94,-0.03,6,ts_extend
110,KZOSP,S2,STRONG,5.49,2.01,2017-11-24,2017-11-27,2017-12-06,4.57,9.51,108.22,7,ts_extend
111,DVEC,S2,STRONG,6.37,3.89,2017-12-27,2017-12-28,2018-01-10,0.68,0.74,8.73,6,ts_extend
112,BSPB,S2,STRONG,5.41,1.80,2018-01-09,2018-01-10,2018-01-18,58.14,61.89,6.45,6,ts_extend
113,RNFT,S2,STRONG,5.81,3.09,2018-01-29,2018-01-30,2018-02-07,602.96,616.47,2.24,6,ts_extend
114,MVID,S1,STRONG,5.19,1.93,2018-02-02,2018-02-05,2018-02-13,420.67,438.65,4.27,6,ts_extend
115,KZOS,S2,ULTRA,7.28,2.22,2018-02-14,2018-02-15,2018-03-02,81.13,88.24,8.76,10,ts_extend
116,BISVP,S2,STRONG,5.89,2.21,2018-03-02,2018-03-05,2018-03-19,4.03,3.99,-0.82,7,max_hold
