=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:29:38
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
BASE minVR,3.6
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,784
Средняя доходность %,5.15
Медианная доходность %,1.80
Win rate %,70.3
Profit factor,8.29
Sharpe,3.07
Макс просадка %,39.88
Общая доходность %,95661746882.00
CAGR %,0.00
Макс выигрыш %,98.33
Макс проигрыш %,-28.12
Ср. выигрыш %,8.33
Ср. проигрыш %,2.38
Макс серия побед,16
Макс серия потерь,5
Ср. удержание дней,4.9
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
100,AQUA,S2,BASE,5.48,5.24,2016-08-15,2016-08-16,2016-08-23,38.06,40.85,7.34,5,ts_extend
101,DZRD,S2,BASE,5.15,4.97,2016-08-16,2016-08-17,2016-08-25,2003.20,1988.53,-0.73,5,ts_extend
102,STSB,S2,BASE,6.81,3.06,2016-08-23,2016-08-24,2016-08-31,0.33,0.45,35.77,5,ts_extend
103,ABRD,S2,BASE,5.44,1.36,2016-08-25,2016-08-26,2016-08-29,90.64,91.85,1.33,1,rotate_atr20
104,IGSTP,S2,BASE,4.10,4.54,2016-08-26,2016-08-29,2016-09-05,427.68,472.52,10.48,5,ts_extend
105,SVAV,S2,BASE,6.48,1.95,2016-08-31,2016-09-01,2016-09-02,481.77,478.23,-0.73,1,rotate_atr20
106,RBCM,S2,BASE,6.43,2.93,2016-09-01,2016-09-02,2016-09-09,6.72,7.17,6.71,5,ts_extend
107,MAGEP,S2,BASE,6.75,4.89,2016-09-02,2016-09-05,2016-09-12,3.14,3.32,5.82,5,ts_extend
108,DVEC,S2,ULTRA,7.16,4.17,2016-09-21,2016-09-22,2016-09-30,0.70,0.69,-0.85,6,ts_extend
109,LIFE,S2,BASE,5.74,3.13,2016-10-05,2016-10-06,2016-10-10,15.83,14.93,-5.68,2,rotate_atr20
110,USBN,S2,BASE,3.73,8.57,2016-10-05,2016-10-06,2016-10-13,0.15,0.17,8.72,5,ts_extend
111,AQUA,S2,BASE,5.49,5.78,2016-10-07,2016-10-10,2016-10-18,39.66,41.33,4.21,5,max_hold
112,KOGK,S2,BASE,5.11,6.31,2016-10-17,2016-10-18,2016-10-25,490.78,570.96,16.34,5,ts_extend
113,NLMK,S1,BASE,3.68,2.48,2016-10-26,2016-10-27,2016-11-03,96.49,103.52,7.28,5,ts_extend
114,UTAR,S2,BASE,4.34,2.47,2016-10-28,2016-10-31,2016-11-08,9.76,11.52,18.06,5,ts_extend
115,OGKB,S2,BASE,4.76,2.87,2016-11-07,2016-11-08,2016-11-15,0.40,0.42,4.99,5,ts_extend
116,NLMK,S1,BASE,4.23,3.02,2016-11-10,2016-11-11,2016-11-18,117.54,116.81,-0.62,5,ts_extend
117,KMAZ,S2,BASE,4.02,2.00,2016-11-15,2016-11-16,2016-11-23,46.87,46.86,-0.03,5,ts_extend
118,HYDR,S1,BASE,4.43,2.55,2016-11-29,2016-11-30,2016-12-07,0.94,0.97,2.66,5,ts_extend
119,MSTT,S2,BASE,3.94,2.02,2016-11-30,2016-12-01,2016-12-08,85.64,85.05,-0.68,5,ts_extend
120,STSBP,S2,BASE,4.06,5.58,2016-11-30,2016-12-01,2016-12-08,0.24,0.24,2.65,5,ts_extend
121,LSNG,S2,BASE,3.99,4.05,2016-12-07,2016-12-08,2016-12-15,5.75,6.00,4.19,5,ts_extend
122,VTBR,S1,BASE,5.00,1.52,2016-12-09,2016-12-12,2016-12-19,367.59,368.91,0.36,5,ts_extend
123,MSRS,S2,BASE,4.99,2.21,2016-12-15,2016-12-16,2016-12-19,1.06,0.76,-28.12,1,cat_stop
124,ARSA,S2,BASE,5.53,2.60,2016-12-20,2016-12-21,2016-12-28,3.46,3.94,13.95,5,ts_extend
125,TGKN,S2,BASE,6.64,4.02,2016-12-29,2016-12-30,2017-01-09,0.00,0.00,3.21,5,ts_extend
126,TTLK,S2,BASE,3.82,1.86,2017-01-10,2017-01-11,2017-01-18,0.16,0.16,-0.47,5,ts_extend
127,LVHK,S2,BASE,3.94,1.91,2017-01-17,2017-01-18,2017-01-27,8.01,8.19,2.17,5,max_hold
128,HYDR,S1,BASE,3.79,2.32,2017-01-18,2017-01-19,2017-01-26,1.10,1.09,-0.77,5,ts_extend
129,RUAL,S2,BASE,4.42,2.71,2017-01-26,2017-01-27,2017-02-03,34.44,37.02,7.52,5,ts_extend
130,MAGN,S1,BASE,4.92,2.23,2017-01-31,2017-02-01,2017-02-08,40.77,42.92,5.29,5,ts_extend
131,FESH,S2,BASE,4.87,5.40,2017-02-03,2017-02-06,2017-02-13,3.71,3.74,1.05,5,ts_extend
132,UNAC,S2,BASE,5.73,3.00,2017-02-03,2017-02-06,2017-02-13,0.60,0.61,2.24,5,ts_extend
133,MSTT,S2,BASE,4.96,1.85,2017-02-13,2017-02-14,2017-02-21,105.17,106.12,0.91,5,ts_extend
134,BISVP,S2,ULTRA,7.50,1.59,2017-03-06,2017-03-09,2017-03-21,3.81,4.15,8.96,6,ts_extend
135,UNAC,S2,BASE,4.09,3.58,2017-03-29,2017-03-30,2017-04-06,0.79,0.79,-0.09,5,ts_extend
136,GCHE,S2,BASE,3.79,1.77,2017-04-18,2017-04-19,2017-04-24,1111.78,1257.98,13.15,3,rotate_atr20
137,VSMO,S2,BASE,3.86,2.17,2017-04-18,2017-04-19,2017-04-26,15624.96,15731.07,0.68,5,ts_extend
138,KRSBP,S2,BASE,6.87,3.36,2017-04-21,2017-04-24,2017-05-02,4.12,4.23,2.83,5,ts_extend
139,NKHP,S2,BASE,6.19,4.48,2017-05-11,2017-05-12,2017-05-19,192.81,205.74,6.71,5,ts_extend
140,IGSTP,S2,ULTRA,7.54,5.09,2017-05-11,2017-05-12,2017-05-23,596.95,621.59,4.13,6,ts_extend
141,SNGS,S1,BASE,4.17,2.60,2017-05-25,2017-05-26,2017-06-02,29.75,30.86,3.73,5,ts_extend
142,PMSB,S2,BASE,4.73,2.03,2017-05-25,2017-05-26,2017-06-02,68.11,68.12,0.02,5,ts_extend
143,PMSBP,S2,ULTRA,8.69,1.53,2017-06-05,2017-06-06,2017-06-08,69.11,61.40,-11.15,2,rotate_atr20
144,PMSB,S2,BASE,5.05,1.92,2017-06-05,2017-06-06,2017-06-09,68.31,49.10,-28.12,3,cat_stop
145,KRSBP,S2,BASE,3.78,2.84,2017-06-07,2017-06-08,2017-06-16,4.00,3.93,-1.56,5,ts_extend
146,RNFT,S2,BASE,6.09,1.53,2017-06-14,2017-06-15,2017-06-22,598.96,605.42,1.08,5,ts_extend
147,BISVP,S2,BASE,6.63,2.05,2017-07-04,2017-07-06,2017-07-14,3.90,3.85,-1.21,5,ts_extend
148,MSTT,S2,BASE,3.91,1.62,2017-07-13,2017-07-14,2017-07-21,115.18,113.39,-1.56,5,ts_extend
149,IRKT,S2,ULTRA,7.88,2.85,2017-07-13,2017-07-14,2017-07-24,10.97,11.06,0.84,6,ts_extend
150,MRKV,S2,BASE,6.07,2.90,2017-07-26,2017-07-27,2017-08-03,0.10,0.10,4.37,5,ts_extend
151,MRKY,S2,BASE,6.39,4.51,2017-07-26,2017-07-27,2017-08-03,0.05,0.05,0.34,5,ts_extend
152,RTGZ,S2,ULTRA,8.94,1.73,2017-08-07,2017-08-08,2017-08-09,14973.92,14726.40,-1.65,1,rotate_atr20
153,NKHP,S2,ULTRA,7.35,2.97,2017-08-07,2017-08-08,2017-08-15,188.80,197.68,4.70,5,rotate_atr20
154,RUAL,S2,BASE,4.57,3.47,2017-08-08,2017-08-09,2017-08-16,40.37,40.16,-0.52,5,ts_extend
155,MRKZ,S2,BASE,4.23,4.67,2017-08-14,2017-08-15,2017-08-22,0.06,0.06,2.29,5,ts_extend
156,FESH,S2,BASE,4.95,5.28,2017-08-15,2017-08-16,2017-08-23,4.21,4.82,14.67,5,ts_extend
157,HIMCP,S2,BASE,4.74,5.54,2017-08-21,2017-08-22,2017-08-29,5.11,5.22,2.14,5,ts_extend
158,MTLR,S1,BASE,3.71,3.09,2017-08-22,2017-08-23,2017-08-30,166.27,164.40,-1.12,5,ts_extend
159,MRKV,S2,BASE,4.97,4.41,2017-08-22,2017-08-23,2017-08-30,0.11,0.12,15.81,5,ts_extend
160,MSNG,S2,BASE,6.41,2.45,2017-08-29,2017-08-30,2017-09-06,3.19,3.26,2.08,5,ts_extend
161,SAREP,S2,ULTRA,8.14,7.04,2017-08-29,2017-08-30,2017-09-07,0.08,0.08,10.94,6,ts_extend
162,AFKS,S1,ULTRA,9.16,3.77,2017-09-05,2017-09-06,2017-09-14,14.12,14.10,-0.10,6,ts_extend
163,NKSH,S2,BASE,5.02,4.98,2017-09-05,2017-09-06,2017-09-13,14.77,19.64,32.93,5,ts_extend
164,ROST,S2,BASE,6.89,5.46,2017-09-06,2017-09-07,2017-09-14,74.02,82.69,11.72,5,ts_extend
165,TGKN,S2,BASE,6.66,3.76,2017-09-12,2017-09-13,2017-09-20,0.00,0.00,1.50,5,ts_extend
166,RTKM,S1,BASE,5.19,1.60,2017-09-19,2017-09-20,2017-09-27,69.21,68.79,-0.61,5,ts_extend
167,NKNCP,S2,BASE,5.65,2.04,2017-09-19,2017-09-20,2017-09-26,27.05,26.57,-1.80,4,rotate_atr20
168,TGKA,S2,BASE,3.89,4.50,2017-09-22,2017-09-25,2017-09-28,0.01,0.01,-2.66,3,rotate_atr20
169,FESH,S2,ULTRA,7.70,5.56,2017-09-25,2017-09-26,2017-09-29,6.48,6.98,7.69,3,rotate_atr20
170,KOGK,S2,BASE,3.80,8.23,2017-09-26,2017-09-28,2017-10-09,849.36,867.28,2.11,5,ts_extend
171,MISB,S2,BASE,3.67,14.34,2017-09-28,2017-09-29,2017-10-06,6.51,8.59,32.00,5,ts_extend
172,STSBP,S2,BASE,4.81,1.69,2017-10-10,2017-10-11,2017-10-18,0.36,0.50,38.80,5,ts_extend
173,UKUZ,S2,BASE,6.10,2.81,2017-10-23,2017-10-24,2017-10-31,861.38,890.90,3.43,5,ts_extend
174,SLEN,S2,BASE,3.76,4.02,2017-10-30,2017-10-31,2017-11-08,5.37,5.41,0.85,5,ts_extend
175,RZSB,S2,BASE,4.72,3.84,2017-10-30,2017-10-31,2017-11-09,3.31,3.45,4.24,5,ts_extend
176,PMSBP,S2,BASE,7.00,1.72,2017-11-08,2017-11-09,2017-11-16,76.92,82.69,7.50,5,ts_extend
177,MFGSP,S2,ULTRA,9.47,2.85,2017-11-15,2017-11-16,2017-11-28,390.62,400.01,2.40,6,ts_extend
178,BSPB,S2,BASE,5.68,1.89,2017-11-29,2017-11-30,2017-12-07,55.44,56.11,1.21,5,ts_extend
179,PMSB,S2,BASE,3.61,3.08,2017-12-14,2017-12-15,2017-12-22,80.03,79.57,-0.57,5,max_hold
180,DVEC,S2,BASE,6.37,3.89,2017-12-27,2017-12-28,2018-01-09,0.68,0.74,8.95,5,ts_extend
181,BRZL,S2,BASE,4.31,2.01,2018-01-09,2018-01-10,2018-01-17,891.42,890.90,-0.06,5,ts_extend
182,BSPB,S2,BASE,5.41,1.80,2018-01-09,2018-01-10,2018-01-17,58.14,62.02,6.67,5,ts_extend
183,URKZ,S2,BASE,3.92,2.50,2018-01-17,2018-01-19,2018-01-30,85.14,85.64,0.60,5,ts_extend
184,RNFT,S2,BASE,5.81,3.09,2018-01-29,2018-01-30,2018-02-06,602.96,617.73,2.45,5,ts_extend
