=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T22:55:04
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2.5
Макс VR,10
Дней сигнала,1
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7
ULTRA maxHold,15
ULTRA TS after,6
ULTRA TS dist %,2.6
STRONG minVR,6.5
STRONG maxHold,13
STRONG TS after,6
STRONG TS dist %,1.8
BASE minVR,2.5
BASE maxHold,10
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1292
Средняя доходность %,3.41
Медианная доходность %,1.10
Win rate %,63.1
Profit factor,4.25
Sharpe,2.32
Макс просадка %,42.37
Общая доходность %,1140373965.52
CAGR %,0.00
Макс выигрыш %,125.04
Макс проигрыш %,-22.12
Ср. выигрыш %,7.08
Ср. проигрыш %,2.85
Макс серия побед,12
Макс серия потерь,8
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
73,NMTP,S2,BASE,5.76,2.45,2015-10-27,2015-10-28,2015-11-05,3.08,3.16,2.60,5,ts_extend
74,KMAZ,S2,STRONG,6.65,1.81,2015-11-03,2015-11-05,2015-11-13,35.86,35.54,-0.88,6,ts_extend
75,RGSS,S1,ULTRA,9.43,1.46,2015-11-05,2015-11-06,2015-12-02,5.42,5.37,-0.94,8,ts_extend
76,ARSA,S2,BASE,5.27,4.68,2015-11-12,2015-11-13,2015-11-20,1.01,1.09,8.55,5,ts_extend
77,TORSP,S2,BASE,5.81,3.88,2015-11-12,2015-11-13,2015-11-20,0.23,0.27,16.93,5,ts_extend
78,BSPB,S2,BASE,2.69,3.11,2015-11-19,2015-11-20,2015-11-27,39.91,39.33,-1.47,5,ts_extend
79,CBOM,S2,BASE,3.61,2.26,2015-11-27,2015-11-30,2015-12-07,3.84,3.81,-0.56,5,ts_extend
80,MTLR,S1,BASE,2.65,3.08,2015-12-02,2015-12-03,2015-12-10,68.33,67.26,-1.56,5,ts_extend
81,STSBP,S2,BASE,3.83,2.21,2015-12-04,2015-12-07,2015-12-14,0.25,0.24,-1.56,5,ts_extend
82,LVHK,S2,BASE,3.78,1.89,2015-12-11,2015-12-14,2015-12-24,8.66,8.53,-1.56,5,ts_extend
83,ALRS,S1,BASE,3.07,3.03,2015-12-15,2015-12-16,2015-12-23,55.82,56.97,2.06,5,ts_extend
84,PMSB,S2,BASE,2.58,4.84,2015-12-24,2015-12-25,2016-01-11,48.18,47.74,-0.90,5,ts_extend
85,AKRN,S2,BASE,2.95,2.98,2016-01-12,2016-01-13,2016-01-20,3925.27,3864.12,-1.56,5,ts_extend
86,KROT,S2,BASE,4.99,3.67,2016-01-12,2016-01-13,2016-01-21,122.20,123.05,0.70,5,ts_extend
87,AFKS,S1,BASE,5.55,2.65,2016-01-14,2016-01-15,2016-01-22,17.64,17.41,-1.27,5,ts_extend
88,SARE,S2,BASE,2.57,7.01,2016-01-19,2016-01-20,2016-01-27,0.17,0.17,-0.54,5,ts_extend
