=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:24:43
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,2
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1184
Средняя доходность %,4.08
Медианная доходность %,1.36
Win rate %,65.4
Profit factor,5.84
Sharpe,2.52
Макс просадка %,44.75
Общая доходность %,31716217576.87
CAGR %,0.00
Макс выигрыш %,182.78
Макс проигрыш %,-28.12
Ср. выигрыш %,7.53
Ср. проигрыш %,2.44
Макс серия побед,17
Макс серия потерь,5
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
66,NKSH,S2,BASE,3.91,4.07,2015-11-16,2015-11-17,2015-11-25,9.97,10.08,1.18,5,max_hold
67,JNOS,S2,BASE,4.01,6.93,2015-11-20,2015-11-23,2015-11-30,25.04,24.16,-3.51,5,max_hold
68,MFGSP,S2,ULTRA,9.63,3.30,2015-11-24,2015-11-25,2015-11-26,539.86,520.17,-3.65,1,rotate_atr20
69,VSYD,S2,BASE,3.31,8.98,2015-11-25,2015-11-26,2015-12-04,3104.96,3056.59,-1.56,5,ts_extend
70,CBOM,S2,BASE,3.61,2.26,2015-11-27,2015-11-30,2015-12-01,3.84,3.84,0.20,1,rotate_atr20
71,SELG,S2,STRONG,5.15,3.56,2015-11-30,2015-12-01,2015-12-09,6.41,8.65,34.87,6,ts_extend
72,AFLT,S1,BASE,2.40,4.14,2015-12-01,2015-12-02,2015-12-09,57.69,58.66,1.68,5,ts_extend
73,JNOSP,S2,ULTRA,8.52,4.00,2015-12-03,2015-12-04,2015-12-15,24.04,25.49,6.04,6,ts_extend
74,TGKBP,S2,STRONG,6.98,5.37,2015-12-08,2015-12-09,2015-12-18,0.00,0.00,6.71,6,ts_extend
75,NNSB,S2,BASE,4.96,2.40,2015-12-10,2015-12-15,2015-12-25,1051.68,975.44,-7.25,1,rotate_atr20
76,ALRS,S1,BASE,3.07,3.03,2015-12-15,2015-12-16,2015-12-23,55.82,56.97,2.06,5,ts_extend
77,TRMK,S2,ULTRA,9.46,2.39,2015-12-17,2015-12-18,2015-12-21,64.10,65.79,2.64,1,rotate_atr20
78,WTCM,S2,BASE,2.11,5.22,2015-12-18,2015-12-21,2015-12-28,8.86,9.45,6.61,5,ts_extend
